제목,작가,링크,줄거리,썸네일,연령등급
나만 보는 탑 공략집,사도 / X-NAME / 쾌조,https://comic.naver.com/webtoon/list?titleId=823434&tab=tue,"[당신은 공략집을 사용 하시겠습니까?] 
어느 날 찾아온 의문의 메시지, 지구의 종말과 함께 생존 게임이 시작되었다.  

서로를 '불신' 하게 하며, '다툼'을 일으키고, '파멸'에 이르기를 유도하는 탑 ···.
  
나는 결코 흔들리지 않을 것이다. 믿어주는 사람들과 함께 이 탑의 결말을 만들어 나갈 테니까.
···그래, 모두와 함께 해피 엔딩을 만들어내겠어!",https://image-comic.pstatic.net/webtoon/823434/thumbnail/thumbnail_IMAG21_2410f633-6b9f-415f-bba1-5e27495685cb.jpg,15세 이용가
죽어 천국에 가다,수사반장,https://comic.naver.com/webtoon/list?titleId=826887&tab=tue,"고철수는 삶에 미련이 없다.
저승의 삶도 환생도 싫었다.
고철수는 완전한 죽음을 꿈꾼다.
자신의 존재가 완전히 사라지길 원했다.
하지만 그런 철수를 세상은 놓아주지 않는다.",https://image-comic.pstatic.net/webtoon/826887/thumbnail/thumbnail_IMAG21_df394e5e-a23d-4a76-8365-596b23b34c89.jpg,15세 이용가
한계 찢는 천재마법사,플랑K톤 / 김현준 / 얼음초코,https://comic.naver.com/webtoon/list?titleId=839353&tab=tue,"성장한계 1위계. 마법사로서의 재능은 바닥이지만 천재적인 두뇌로 마탑의 빛을 보려고 했던 연구원, 베르덴. 하지만 마탑주의 눈에 든 그는 마탑의 실험체가 된다. 7년이란 모욕과 절망의 시간을 버텨낸 베르덴은 그간 만들어낸 이론과 마탑의 동력원으로 자신의 한계를 돌파하기 위해 움직이기 시작한다!",https://image-comic.pstatic.net/webtoon/839353/thumbnail/thumbnail_IMAG21_9f9d8cc4-35ed-4ea9-a93a-0f38bec03c78.jpg,전체연령가
가공낙원,삼촌,https://comic.naver.com/webtoon/list?titleId=830053&tab=tue,"남다른 직감을 가진 고등학생 산호는, 어느 날 자신에게만 보이는 괴물들의 싸움에 휘말려 죽을 위기에 처한다.
죽다 살아나 눈을 뜬 장소는 인간을 애완동물로 키우는 괴물들의 세상.
졸지에 괴물의 애완인간이 된 산호는 어떻게든 탈출해 집으로 돌아가고자 하는데…",https://image-comic.pstatic.net/webtoon/830053/thumbnail/thumbnail_IMAG21_6e31d860-ee08-42e7-9bda-a157d5b3a087.jpg,15세 이용가
왕게임,신형욱 / 범고래,https://comic.naver.com/webtoon/list?titleId=798101&tab=tue,"절대권력을 손에 넣게 된 소년의 학원액션 서스펜스!
폭력에 순응하며 비굴한 학창 시절을 보내던 고등학생 ‘황초민’.
어느 날 절연했던 친형의 사망 소식과 함께 그의 핸드폰을 갖게 된다.
형이 거대 폭력서클 「황제사단」의 단장이라는 사실을 알게 된 황초민은 그를 사칭하여 사단을 조종해 쓰레기들을 처단하기 시작하는데...
절대로 들켜선 안 될 왕게임이 시작된다!",https://image-comic.pstatic.net/webtoon/798101/thumbnail/thumbnail_IMAG21_9f5de12e-3b9c-4d31-9e31-32a4a304c2d8.jpg,12세 이용가
빌런투킬,퓨핀 / 은지,https://comic.naver.com/webtoon/list?titleId=765156&tab=tue,"동료를 살해했다는 억울한 누명을 쓰고 사망한 카시안. 모든 게 끝이라고 생각한 순간. 그의 영혼은 어느 소년의 몸에 빙의되어 빌런으로 각성한다.
선망의 대상이자 대중의 지지를 받던 탑클래스 싸이커였던 그가 하루아침에 빌런이 되다니! 그는 자신의 운명을 받아들이기 힘들다.
복수와 분노! 거듭되는 파괴적인 충동으로 이성까지 잠식당할 위기에 처하지만, 신비로운 존재 모로스의 도움과 초인적인 자제력으로 이를 극복해 낸다.
“대재앙급이라고?! 어디.. 화끈하게 터트려 볼까!!”",https://image-comic.pstatic.net/webtoon/765156/thumbnail/thumbnail_IMAG21_f4ab778b-d062-4cd6-ad5b-a7c375d4e19d.jpg,15세 이용가
청춘 러브썸,홍덕 / NEMONE,https://comic.naver.com/webtoon/list?titleId=828920&tab=tue,"""푸르진 않지만 나름 괜찮아.""
전작 청춘블라썸 에필로그로부터 1년 뒤,
원장 쌤이 새로 오픈한 '카페블라썸 앤 네모네화실'을 중심으로
보미의 대학 동기 '푸름'과 함께 다시 시작되는 청춘들의 이야기.
캠퍼스 로맨스, 학원 로맨스, 직장인 로맨스 등 없는 게 없다.
유쾌한 이야기로 다시 찾아온 청춘 시리즈!",https://image-comic.pstatic.net/webtoon/828920/thumbnail/thumbnail_IMAG21_19ce0f7d-7134-403a-bbc5-4f939cd8927f.jpg,12세 이용가
야만의 청혼,team IRUKA / 이윤아,https://comic.naver.com/webtoon/list?titleId=833873&tab=tue,"“아이를 가졌어요. 다른 남자의. 그래도 혼인하겠습니까?” 
대륙에서 가장 잔인한 용병대 수장의 청혼을 거절하기 위해서, 나라를 지키기 위해서 한 거짓말이었다. 

그런데 대답은…… 
“누구 애든 상관없으니 낳아요. 대신 나는 공주님을 가질 테니.” 

도무지 알 수가 없었다. 
망해 가는 가난한 왕국의 공주에게, 이 남자는 대체 무얼 바라는 걸까.",https://image-comic.pstatic.net/webtoon/833873/thumbnail/thumbnail_IMAG21_fe3087ab-54c7-4484-8718-17e06288de17.jpg,15세 이용가
아랫집 윗집 사이에,구슬창,https://comic.naver.com/webtoon/list?titleId=834734&tab=tue,"아랫집 윗집 사이에 오고가는 불쾌한 어른들의 관계.
그 사이에 낀 우리는 무슨 죄인가?
불안정한 가정이 무너지고, 우리의 관계가 잘못되더라도
한 지붕 아래 너와 함께하고 싶었어",https://image-comic.pstatic.net/webtoon/834734/thumbnail/thumbnail_IMAG21_30c95e1f-f6c2-4c78-8814-713bc711fb41.jpg,15세 이용가
대공님의 신부는 지옥의 전사,개바시 / 디참 / 김모안,https://comic.naver.com/webtoon/list?titleId=839404&tab=tue,"혼기를 놓친 후작 영애, 알리샤.
남은 선택지는 단 하나, ‘괴물’ 대공의 일곱 번째 부인이 되는 것!
그러나 결혼 선물을 여는 순간, 지옥으로 추락했다.
살기 위해 지옥의 악마성을 부수자
모든 비극이 시작되기 전으로 돌아오고…
알리샤는 과거를 비틀기 위해 먼저 괴물 대공을 찾아간다.
…잠깐, 이렇게 잘생겼다고는 안 했잖아?!
""나랑 결혼해요, 대공님!""",https://image-comic.pstatic.net/webtoon/839404/thumbnail/thumbnail_IMAG21_0c521cd1-52f5-49e1-b3e1-b9bb9237c827.jpg,15세 이용가
그냥 선생님,연일,https://comic.naver.com/webtoon/list?titleId=804333&tab=tue,"선생님 집은 학교 아니에요? 선생님도 집이 있어요?

우리들 모두의 학창 시절, 언제나 그 자리에 있을 거만 같은 선생님들.
수업이 끝난 교실, 학교 바깥. 그냥 선생님들의 평범하고 사랑스러운 일상,

일상 로맨스 <그냥 선생님>",https://image-comic.pstatic.net/webtoon/804333/thumbnail/thumbnail_IMAG21_5f5bec29-b0aa-4260-8dc8-ce4bf09bab3c.jpg,전체연령가
처음도 아닌데,미쪼 / 동탕 / 별규,https://comic.naver.com/webtoon/list?titleId=837485&tab=tue,"대표실 문이 열리자, 새롭게 부임한 대표가 눈에 들어온다.

…전 남친이었다.

아무렇지 않게 날 매일 보려고 이곳에 왔다고 말하는 그.


헤어진 지 3년.

그는 왜 이제 와서 내게 다가오는 걸까?
더 다정하고, 더 강렬하게.


완벽한 남자 '차성혁'.
입양아라는 꼬리표가 붙은 나, '채영인'.

이번 재회의 끝은 예전과 다를 수 있을까,
우리는 서로의 결핍을 채워줄 수 있을까?",https://image-comic.pstatic.net/webtoon/837485/thumbnail/thumbnail_IMAG21_203a63f8-c34b-4e83-9a80-b67e6a3967c3.jpg,15세 이용가
킬링필드,"MAJOR, 012 / 012",https://comic.naver.com/webtoon/list?titleId=836361&tab=tue,성인,성인,성인
흑역사 어게인,안수민,https://comic.naver.com/webtoon/list?titleId=814817&tab=tue,"운 제로, 인복 제로, 외톨이로 보냈던 고독하고 우울한 학창 시절.
흑역사 그 자체인 어린 시절을 극복하고 행복한 하루하루를 보내고 있는 스물여덟 유미.
모든 것이 완벽한 나날을 뒤로하고 가장 불행했던 과거로 타입슬립?!

미래에 두고 온 마지막 사랑과 과거의 잊고 있었던 첫사랑 사이에서의 갈등!",https://image-comic.pstatic.net/webtoon/814817/thumbnail/thumbnail_IMAG21_495bd250-daae-4308-a615-9267801c2595.jpg,12세 이용가
에이머,구동인,https://comic.naver.com/webtoon/list?titleId=400739&tab=tue,"작은 우연은 역사를 만든다.
지구를 침공한 이성인 팜킨 일당과, 그들을 막아선 초월자 에이머와 지구인의 이야기!",https://image-comic.pstatic.net/webtoon/400739/thumbnail/thumbnail_IMAG21_b5046846-5af7-48a9-9b20-b0b07cf0c904.jpeg,전체연령가
디펜스 브레이커,주신 / 이노,https://comic.naver.com/webtoon/list?titleId=840348&tab=tue,"디펜스 게임 안으로 들어간 지훈.
기사단장이 되어 몬스터들로부터 왕국을 지켜줄 것을 강요받는다.
하지만 사람들에게 받은 상처가 아직 아물지 않았던 지훈은
왕국을 지키길 거부한다.
그러자 갑자기 새로운 루트가 열리게 되는데..",https://image-comic.pstatic.net/webtoon/840348/thumbnail/thumbnail_IMAG21_1e28c9bd-d0a3-4a08-a682-86a880cd831d.jpg,15세 이용가
티키타카,하하영 / 애크쵸,https://comic.naver.com/webtoon/list?titleId=833244&tab=tue,"어깨 부상으로 그만뒀던 핸드볼, 근데 다리는 멀쩡하잖아? 이번엔 손이 아닌 발로 도전한다!
뇌지컬은 100% 하지만 피지컬은 0%인 '하랑'의 여자 풋살 도전 이야기.",https://image-comic.pstatic.net/webtoon/833244/thumbnail/thumbnail_IMAG21_8dab2510-1384-418c-a60d-8e4ceac45422.jpg,전체연령가
재난은 늘 곁에 있다,이혜,https://comic.naver.com/webtoon/list?titleId=827333&tab=tue,"하루 아침에 10년의 세월이 사라져버린 여자 윤다미, 그 모든 게 신이라는 남자와 엮이면서 시작되었다.
하지만 신은 본인과는 무관한 일이라며 다미를 무시한다.
그러던 중 다미의 집안에 오랫동안 찾아 헤매던 ‘물건’의 존재를 알게 되면서 다미와의 관계에 변화를 주기 시작한다.
하지만 이미 틀어져 버릴 대로 틀어져 버린 관계를 되돌릴 수 있을까?",https://image-comic.pstatic.net/webtoon/827333/thumbnail/thumbnail_IMAG21_0317e4c9-0daa-4e41-9835-e7ef5645c7af.jpg,전체연령가
내남친 킹카만들기,랑쓰 / 섯끼,https://comic.naver.com/webtoon/list?titleId=791126&tab=tue,"사랑스러운 외모의 SNS 스타 윤시아는 관리라고는 한번도 해본 적 없는 방구석 아싸 김민호를 킹카로 만드는 콘텐츠를 시작한다.
과연.. 그는 긁지 않은 복권이 맞을까? 두근두근 k-하이틴 로맨스!",https://image-comic.pstatic.net/webtoon/791126/thumbnail/thumbnail_IMAG21_acf0c866-3bf4-43ec-8750-33e060f7cdd6.jpg,전체연령가
집착남주의 전부인이 되었습니다,하담 / 꿀생강 / 퍼젤,https://comic.naver.com/webtoon/list?titleId=813922&tab=tue,"""이르웬, 당신과 결혼한지도 벌써 4년이야. 내가 그 얕은 수작을 모를까봐?""
패국의 공녀, 희대의 악처, 그리고 남편을 살해하려다 처형당하는 악녀 이르웬 릴리아스.
원작이 시작되기 1년 전 시점에 이 악녀의 몸에 빙의했다. 내가 악녀라고? 이럴 수는 없다.
어떻게든 남편에게 모든 패악질을 참회하고, 착해진 나를 어필해 살아남아야겠다.
목표는 이혼! 조용히 이혼하고 멀리 떠나서 평온한 여생을 보내는 거야!
그런데 남편이 조금 이상하다. 설마, 나를 싫어하는 게 아니었어?
""수작이요? 나는 당신과 사이좋게 지내려고 애쓰는 중이에요!""
""그렇다면 이제 그 의무도 받아들일 준비가 된 건가? 아이를, 낳는 것 말이야.""",https://image-comic.pstatic.net/webtoon/813922/thumbnail/thumbnail_IMAG21_f1478b60-6c7b-49ac-8831-56af9c4f3d7b.jpg,15세 이용가
인생내꺼,미티 / 구구,https://comic.naver.com/webtoon/list?titleId=835582&tab=tue,"""힘든 인생, 편해지고 싶다""
우울증에 걸린 가난한 고등학생, 전주인과 주도권은 천재들의 영혼에게 자신의 몸을 팔아버린다. 
그로부터 13년이 흐른 어느 날 눈을 뜨니 그들은 대기업 의장과 조폭 보스가 되어있는데...

갑자기 엄청나게 대단해진 인생
내 맘대로 살아도 될까?",https://image-comic.pstatic.net/webtoon/835582/thumbnail/thumbnail_IMAG21_76b839a0-9c51-4de4-87fa-05ec47cebc7e.jpg,15세 이용가
선 넘는 결혼생활,맹 / 무인 / 강하다,https://comic.naver.com/webtoon/list?titleId=834750&tab=tue,"아버지의 병원비를 위해 3년 동안 생판 모르는 남자의 법적 배우자가 되어 주기로 한 지완.
결혼 관계만 3년을 유지해 주면 10억을 주겠다는 말에,
그녀는 냉큼 혼인 신고서에 도장을 찍고 만다.
그리고 3년 후, 계약 종료 2주 전.
10억 수령을 코 앞에 둔 그녀의 앞에 갑자기 법적 배우자가 찾아오는데...
과연 지완은 이 남자와 무사히 남남이 될 수 있을까?",https://image-comic.pstatic.net/webtoon/834750/thumbnail/thumbnail_IMAG21_29f029df-39aa-4398-ad23-89194a230620.jpg,12세 이용가
렌탈히어로,포르토 / 코벳,https://comic.naver.com/webtoon/list?titleId=808804&tab=tue,자리를 비운 히어로들 대신 일반인 행세를 하는 도플갱어 이주원. 그에게 히어로 랭킹 1위 '저스티스'가 찾아와 자신의 일반인 대타를 부탁한다. 거액의 보수에 흔쾌히 승낙하고 약속한 장소를 찾아간 이주원은 예상치 못한 광경을 보게 되는데…,https://image-comic.pstatic.net/webtoon/808804/thumbnail/thumbnail_IMAG21_e6ba58d2-2fb0-404c-b0b7-f85e6a9fafd2.jpg,15세 이용가
가짜 성녀를 지켜라!,나리온,https://comic.naver.com/webtoon/list?titleId=840954&tab=tue,"수능을 앞둔 대한민국 고3이었던 다나.
운 나쁘게 로판 트럭에 치여 로판 세계에 환생한다.

이왕 이렇게 된 거, 이번 생에야말로 편하게 살아보려고 했는데...
갑자기 마주친 성녀님의 비밀은?!
죽기는 싫으니까 지켜드리죠, 성녀님의 비밀!",https://image-comic.pstatic.net/webtoon/840954/thumbnail/thumbnail_IMAG21_d675bee7-3175-4d16-b865-b31b1a1dd2a9.jpg,전체연령가
서울역 바바리안,LICO / 진설우,https://comic.naver.com/webtoon/list?titleId=832669&tab=tue,"K고딩 강철두는 평화로운 지구가 따분하다.
이유는 그에게 ‘바바리안’의 피가 흐르기 때문!

전투를 갈망하던 그때, 지구에 종말이 선포되고
살기 위해선 야만의 세계 ‘노바 행성’으로 이주해야 한다!

철두의 심장이 뛴다. 두근 세근 네근!!
전투와 모험이 가득한, K-바바리안의 노빠꾸 행성 정복기!",https://image-comic.pstatic.net/webtoon/832669/thumbnail/thumbnail_IMAG21_18bb021b-9007-4265-92f8-cf9bf6101d55.jpg,15세 이용가
무원야담,호우,https://comic.naver.com/webtoon/list?titleId=818255&tab=tue,"귀신을 부릴 수 있는 체질인 김위신은 복수를 위해 한 귀신을 쫓고 있다.
단서라고는 눈이 금색이라는 것뿐.
그 귀신의 행방을 알 수 있는 결정적인 실마리를 손에 넣기 직전,
귀신 쫓는 경귀석을 가진 박이로에 의해 5년의 노력이 한순간에 허사가 되고
그간 모았던 귀신과 귀물까지 모조리 날려버린다!
거기에 산군의 딸인 동백까지 합세해 복수는커녕 방해되는 짐만 줄줄이 딸리고,
열받은 위신은 전부 도깨비시장에 내다 팔 생각으로 여행길에 오르는데...

귀신에게 원망보다 강한 미련은 없다.
김위신 일행의 죽거나, 혹은 살거나! 귀신 쫓는 극한 퇴마 판타지!",https://image-comic.pstatic.net/webtoon/818255/thumbnail/thumbnail_IMAG21_441a0a01-cf29-49c3-927a-2665f1dd7607.jpg,12세 이용가
아름다운 줄리엣을 위하여,나사못 / 삼밀삼 / 도주차량,https://comic.naver.com/webtoon/list?titleId=829139&tab=tue,"“바보, 머저리, 어떻게 그런 짓을… 다시는 그러지 말아요. 알겠어요?”
에녹 레트라키는 그의 아내 줄리엣을 사랑한다.
비록 아내는 그를 조금도 사랑하지 않는다고 해도.
그런데 어느 날 갑자기 아내가 달라졌다.
에녹은 아내가 다정해진 이유를 알고 싶다.",https://image-comic.pstatic.net/webtoon/829139/thumbnail/thumbnail_IMAG21_93533e16-0fe1-498f-b08e-8fd3e4575741.jpg,12세 이용가
아카데미가 망했다,BIN / GG / ROHRAN,https://comic.naver.com/webtoon/list?titleId=828077&tab=tue,"신입 교사로 부임한 아카데미가 망해버렸다?! 도박에 빠진 학장과 나태 교사, 무기력한 학생들까지! 탈출과 출세의 갈림길에 선 욕망 가득 신입 교사 '아몬 드레이크'가 선택한 다음 걸음은? 뒷골이 알싸해지는 폭풍성장 판타지 개그물!",https://image-comic.pstatic.net/webtoon/828077/thumbnail/thumbnail_IMAG21_7f3e0b6b-d89d-427e-bafe-bb96ecd667d3.jpg,전체연령가
완벽한 실눈 악역을 연기하다,건실청년 / 80 / 봄가을,https://comic.naver.com/webtoon/list?titleId=837632&tab=tue,"미치광이. 소시오패스.
인두겁을 쓴 괴물, 북부 전선의 악마, 웃는 처형대.

나는 완벽하게 ‘유리안’을 연기하게 되었다.
제국 내 모두가 두려워하는 음흉하고 정신 나간 실눈 캐릭터를 말이다.

【캐릭터 성향 《존댓말》】
당신은 아이, 어른할 것 없이 모두에게 존대합니다.

“혼잣말은 좀 넘어가면 안 되는 겁니까?”",https://image-comic.pstatic.net/webtoon/837632/thumbnail/thumbnail_IMAG21_e07daafa-e503-4456-bef1-71354b2fa5c4.jpg,15세 이용가
원시인 김동우,정이리이리 / 이승찬,https://comic.naver.com/webtoon/list?titleId=835242&tab=tue,"‘눈을 감으면 나는 소년이 된다.’ 원시 소년이 된 변호사 동우, 그 삶의 이야기

변호사 김동우, 열심히 달려왔지만 가족도 일도 온전하게 만족할 만큼 이뤄낸 것이 없다.
제대로 진행되지 않는 소송 관련 준비도 무너진 가족도 그에게는 너무나 큰 스트레스다. 
그 때문일까? 동우는 2만 5천 년 전의 원시 소년이 된다. 
그런데 꿈이라고 그냥 넘기기에는 너무나 현실같이 생생하다. 
원시 가족, 그리고 대자연과 함께하는 원시 소년 동우의 삶.
과거의 그 삶은 지금과 얼마나 다를까? 아니면 얼마나 같을까?

변호사와 원시 소년, 두 개의 삶을 살아가게 되는 동우의 이야기.",https://image-comic.pstatic.net/webtoon/835242/thumbnail/thumbnail_IMAG21_b45f472f-1c54-46eb-904b-946ddd3441c2.jpg,전체연령가
연애 못하면 사망,홍치,https://comic.naver.com/webtoon/list?titleId=834175&tab=tue,"111세 덕순 F&B의 회장 김덕순은 죽기 직전 마지막 소원으로 첫사랑 왕종열과의 불꽃 같은 사랑을 하게 해달라 빌고 25세 김도희라는 여자의 몸에서 깨어난다. 
그러나 마지막 소원을 이루기 위해 종열을 향해 달려가던 덕순은 충격적인 장면을 목격하게 되고... 
설상가상으로 저승에서는 덕순에게 소원에 대한 조건을 건다.
‘111일 안에 사랑하지 못하면 무간지옥에 가게 될 것이다’
과연 덕순은 사랑을 이루고 무간지옥행을 피할 수 있을까?",https://image-comic.pstatic.net/webtoon/834175/thumbnail/thumbnail_IMAG21_8989a807-c65d-43c9-9a8d-d2aa216d7c57.jpg,12세 이용가
붉은 이정표,달뜬,https://comic.naver.com/webtoon/list?titleId=790776&tab=tue,"세상의 평화를 유지하던 최강의 도깨비 집단 '홍혜.' 
그러던 어느 날 동료의 배신으로 도깨비 '린'은 홍혜와 친구들 모두를 잃게 된다.
분노로 가득 찬 그는 홍혜의 최강전력 '검은 귀신' 으로서 복수를 향해 길을 떠난다.",https://image-comic.pstatic.net/webtoon/790776/thumbnail/thumbnail_IMAG21_683f454e-5f7a-416b-936b-8a06cb1c3cae.jpeg,15세 이용가
구룡:사로카,"박만사, 백인휘 / 백인휘",https://comic.naver.com/webtoon/list?titleId=833416&tab=tue,"유일한 혈육인 동생을 찾기 위해 킬러가 된 서진태.
수소문 끝에 동생의 행방이 홍콩 최대 범죄조직 삼합회와
관련돼 있다는 것을 알게 되고 무작정 홍콩으로 향하는데...",https://image-comic.pstatic.net/webtoon/833416/thumbnail/thumbnail_IMAG21_677ff60b-57eb-4aae-a5ef-44d175b2d506.jpg,15세 이용가
자멸기관,김보통 / 나몬,https://comic.naver.com/webtoon/list?titleId=824240&tab=tue,"어느날, 청소년들의 뇌속에 자멸하는 장기가 생겨났다. 죽어가는 아이들을 살리기위한 어떤 노력도 하지않는 어른들을 상대로 목숨을 건 협상이 시작된다.",https://image-comic.pstatic.net/webtoon/824240/thumbnail/thumbnail_IMAG21_1870d459-4a42-4102-adbd-32ce91495785.jpg,15세 이용가
빛나는 나나나나,마라링,https://comic.naver.com/webtoon/list?titleId=818205&tab=tue,"왕따를 당한 후 게임중독 은둔형 외톨이로 살고 있던 빛나는 게임에서 만난 찬이를 통해 용기를 얻는다. 
변장을 하면 밖에 나갈 수 있지 않을까? 
그리고 처음으로 변장을 하고 나갔던 날, 괴롭혔던 여자애까지 못알아보는데..?! 
그 후 가발, 렌즈, 화장, 자세와 목소리 톤까지, 달라진 모습으로 변장을 하고 다시 학교에 갈 결심을 하는 빛나! 이 모습이라면 자신 있어! 
그런데 쉐어하우스에서 같이 살게 된 남자애는 나한테 너무 쌀쌀맞아! 
근데.. 저 남자애가 설마..? 과연 빛나는 이중생활을 들키지 않을 수 있을까?",https://image-comic.pstatic.net/webtoon/818205/thumbnail/thumbnail_IMAG21_073553b6-435d-4897-885d-a316d1bbacb3.jpg,전체연령가
멀리서 온 에일리,아마도지 / 사삭,https://comic.naver.com/webtoon/list?titleId=840874&tab=tue,"사랑을 경험하기 위해 지구에 온 외계인 ‘에일리’와 연애상담 뉴튜버 ‘고순도’의 엉망진창 동거가 시작된다!
정체를 숨긴 채 인간 사회에 스며들려는 에일리...
사랑이 존재하지 않는 세계에서 온 그녀는 과연 사랑이란 감정을 느낄 수 있을까?",https://image-comic.pstatic.net/webtoon/840874/thumbnail/thumbnail_IMAG21_be308d58-5541-4847-8008-192bb6339ee3.jpg,15세 이용가
대리게임,철준,https://comic.naver.com/webtoon/list?titleId=809263&tab=tue,"같은 학교의 유찬에게 매주 상납금을 바치며 괴로운 나날을 보내는 도윤.
어느 날, 온라인 게임에서 만난 게임 개발자인 지인에게 어떤 인디게임을 받게 되고
도윤은 게임의 주인공이 자신과 똑같은 처지에 처해있다는 사실에 놀란다.
혹시나 하는 마음 반, 호기심 반에 괴롭히는 자신을 유찬에게 잔인한 복수를 게임에서 선택하고 다음 날을 맞는다.
도윤의 일상은 게임과 똑같이 흘러가기 시작하고...
수상했던 게임은 도윤의 인생을 게임의 선택지로 송두리째 바꿔놓는다.",https://image-comic.pstatic.net/webtoon/809263/thumbnail/thumbnail_IMAG21_10493e4c-e4b5-4aac-b1ed-4acd07879e54.jpg,15세 이용가
던전공략은 복붙이지,REDSTONE!! / 장부규(BKORI),https://comic.naver.com/webtoon/list?titleId=829721&tab=tue,"초월자에게 Ctrl+C, Ctrl+V(일명 복붙) 스킬과 20년의 시한부 인생이라는 저주를 받게 된 주인공 서한준.
하지만 복붙 스킬은 자신에게만 통하고 스킬의 성장까지 막혀 있어 무시 당하는 저렙 헌터 생활을 이어 나간다.
그러던 어느 날, 던전에서 전투 중 복붙 스킬의 성장 방법을 발견한다!
한순간에 최강 스킬을 얻어 세계적인 헌터로 성장한 서한준은 이후 동료들과 함께 다가올 대재앙을 막고자 한다.
서한준은 초월자의 정체를 알아내고 세상을 구할 수 있을까?",https://image-comic.pstatic.net/webtoon/829721/thumbnail/thumbnail_IMAG21_2a15ba64-0de7-4983-8728-707a227d2670.jpg,15세 이용가
친애하는 연서,김방학,https://comic.naver.com/webtoon/list?titleId=822578&tab=tue,"명문 청한대학교의 여신 '남연서'. 
예쁘고 귀여운 연서는 친절하고 사랑스럽기까지 한 사기캐로, 학교 모든 남자들이 그녀를 좋아한다. 
그런데 어느 날부터 연서의 곁에 웬 XX가 얼쩡거리자 연서의 절친 '황선미'는 초조해진다.  
""두 사람은 절대 만나면 안돼! 그 XX는 연서랑 만나기에 너무 별로인 사람이니까... 다른 이유는 없어!!!""",https://image-comic.pstatic.net/webtoon/822578/thumbnail/thumbnail_IMAG21_61bc8db4-d65c-4e28-8f50-c04a37162e1a.jpg,15세 이용가
눈 감은 하늘의 기사,모니,https://comic.naver.com/webtoon/list?titleId=838947&tab=tue,"신월국 희대의 암살자 효성, 
어린 시절 비참하게 죽은 가족의 복수를 위해
죽음의 고비를 넘기고 힘을 길러
신월국으로 잠입을 하게 되는데 ...",https://image-comic.pstatic.net/webtoon/838947/thumbnail/thumbnail_IMAG21_bf681a83-aeac-4ce9-bf66-ba03cbff9b59.jpg,15세 이용가
"천재, 만재, 백재!",심모람,https://comic.naver.com/webtoon/list?titleId=835244&tab=tue,"성격도 취향도 극과 극인 남매, '천재'와 '만재'.
친화력 만렙인 천재와 달리 만재의 유일한 친구는 고양이 막내 '백재'뿐.
""만날 사람 하나 없이 책만 보니 공부를 잘할 수밖에!""
천재는 만재에게 친구를 붙일 궁리를 하고, 백재는 이를 하찮게 지켜보는데...
고양이 하나, 사람 둘. 삼남매가 펼치는 소란스럽고 유쾌한 일상!",https://image-comic.pstatic.net/webtoon/835244/thumbnail/thumbnail_IMAG21_057dfde9-4183-49b2-8fc5-84782986447b.jpg,전체연령가
시한부 황후의 나쁜 짓,굄 / 이준 / 정무늬,https://comic.naver.com/webtoon/list?titleId=819054&tab=tue,"정략결혼이었지만 첫사랑이었다. 황제여서가 아니라 당신이어서 사랑했다.
휠체어를 탄 몸으로 스텔라는 제국과 남편을 위해 헌신했다.
그러나 돌아온 것은 처절한 죽음.
여신은 사지가 마비되어 죽은 스텔라를 회귀시켰다.
이번 생에서도 소꿉친구를 선택하는 남편을 보며,
스텔라는 충동적으로 검투 노예를 거뒀다.
자신을 14살이라 믿는 기억상실남. 혹은 상처 입은 짐승.
“내가 주인을 아프게 했나?”
“너는 날 아프게 할 수 없다.”
“어째서?”
“책장이나 만년필이 주인을 아프게 할 수 없는 법이니까.”
“아주 슬퍼 보여. 부모에게 버림받고 거리를 헤매는 아이처럼.”
그가 내 뺨을 만졌다.
나는 뻣뻣하게 굳은 채 아무 대꾸도 하지 못했다.
12살 이후로 남편이 아닌 남자가 내 몸에 손을 댄 것은 처음이었다.
스텔라가 그를 향해 손을 뻗었다. 우연이 운명이 되는 순간이었다.
그의 정체가 발각당하기 전까진.",https://image-comic.pstatic.net/webtoon/819054/thumbnail/thumbnail_IMAG21_24e0c433-d540-44b7-b72a-069c34ad1d58.jpg,15세 이용가
헬스x로맨스,인미,https://comic.naver.com/webtoon/list?titleId=822876&tab=tue,"어렸을 적 뚱뚱하다는 이유로 좋아하는 여자애에게 차이게 된 이지훈!
그 트라우마 때문에 운동을 열심히 해서 헬스 트레이너까지 하게 된다.
그러다 우연히 자신의 첫 회원이 자신을 찼던 여자애란 것을 알게 된 이지훈은 PT를 해주는 척 복수를 꿈꾼다.
과연 지훈은 그녀에게서 고백을 받아낼 수 있을까?!
우당탕탕 찌질한 지훈의 고백받기 프로젝트!",https://image-comic.pstatic.net/webtoon/822876/thumbnail/thumbnail_IMAG21_c799991e-9f18-43d1-966b-c1131ea11f0d.jpg,12세 이용가
문어숙희숙회,수현 / 김도비,https://comic.naver.com/webtoon/list?titleId=826609&tab=tue,"바닷 속 깊은 곳에서 행복하게 살고 있던 거대 문어 가족들.
어느 날 어선에 의해 가족들 모두 뿔뿔이 흩어지게 되고,
어린 문어 숙희는 라면의 재료가 될 위기에 처하게 되는데...",https://image-comic.pstatic.net/webtoon/826609/thumbnail/thumbnail_IMAG21_6261bca5-5d89-4360-a1c5-5ab4dae07d32.jpg,15세 이용가
